strategy_types,lookback_period,rsi_window,ma_window,rebalance_period,num_stocks,portfolio_type,combine_method,Total Return,Annual Return,Volatility,Sharpe Ratio,Max Drawdown,strategy_name
"['momentum', 'rsi', 'ma_crossover']",252,5,100,5,3,long,or,0.40278566092743784,0.0669578760870213,0.1385449670115646,0.4832934572169064,-0.2458606759417521,"momentum, rsi, ma_crossover (OR)"
"['momentum', 'rsi', 'ma_crossover']",63,10,100,5,3,long_short,or,0.07719252575180757,0.012846290590339704,0.026583099090500443,0.4832502992448449,-0.04119637808750665,"momentum, rsi, ma_crossover (OR)"
"['momentum', 'ma_crossover']",126,14,20,42,10,long,or,0.6149406673111621,0.087368822310536,0.180850248771415,0.48310037118591687,-0.28548082840203015,"momentum, ma_crossover (OR)"
"['momentum', 'rsi']",63,10,50,5,3,long_short,or,0.0943774508912043,0.015215449310183704,0.031497783184403494,0.48306413251704067,-0.08298761571076407,"momentum, rsi (OR)"
"['momentum', 'rsi', 'ma_crossover']",21,5,100,10,3,long_short,and,0.1721916888505024,0.027648169077081564,0.05726527016847075,0.4828086726167959,-0.10816896825647682,"momentum, rsi, ma_crossover (AND)"
"['momentum', 'rsi', 'ma_crossover']",21,21,100,21,3,long_short,or,0.21133854805837138,0.03345968409792022,0.06931005952338153,0.4827536482872692,-0.15527792695756049,"momentum, rsi, ma_crossover (OR)"
"['momentum', 'ma_crossover']",63,14,20,21,3,long_short,and,0.44333341974611806,0.06337060618465751,0.1312779660475056,0.482720810602181,-0.24176494976448815,"momentum, ma_crossover (AND)"
"['momentum', 'ma_crossover']",126,14,10,42,3,long_short,or,0.602781235539048,0.08593358994312639,0.17802904683214069,0.4826942090194479,-0.3042849071625965,"momentum, ma_crossover (OR)"
"['momentum', 'rsi']",252,5,50,42,5,long_short,or,0.7280074071367233,0.11042046004046635,0.22879698883413052,0.48261325729473287,-0.39133724091912103,"momentum, rsi (OR)"
"['momentum', 'rsi', 'ma_crossover']",126,10,10,42,5,long,or,0.3574200880851286,0.05485504763864957,0.11367934934022535,0.4825418860770973,-0.20381749068227162,"momentum, rsi, ma_crossover (OR)"
"['momentum', 'ma_crossover']",126,14,20,10,3,long,or,0.5427664879289908,0.07871527976095516,0.16315807064844465,0.48244796869756035,-0.237355589598909,"momentum, ma_crossover (OR)"
"['momentum', 'rsi', 'ma_crossover']",63,10,20,21,10,long_short,and,0.14652896356941336,0.0231599687051105,0.0480051426830037,0.4824476589528047,-0.08839144361941664,"momentum, rsi, ma_crossover (AND)"
"['momentum', 'rsi', 'ma_crossover']",21,14,100,21,10,long_short,and,0.15002461281470203,0.024285714760937438,0.05035401362445221,0.4822994834545652,-0.11237290709958525,"momentum, rsi, ma_crossover (AND)"
"['momentum', 'rsi', 'ma_crossover']",252,14,10,5,5,long_short,or,0.05765793448300749,0.010792132422461576,0.022379040085587172,0.48224286569878655,-0.050348295605951665,"momentum, rsi, ma_crossover (OR)"
"['momentum', 'rsi']",126,14,50,21,5,long_short,or,0.24685423216407476,0.039308522101398236,0.08152533851927612,0.4821632490627929,-0.15017971722175538,"momentum, rsi (OR)"
"['momentum', 'rsi']",126,14,50,21,3,long_short,or,0.30940164196941367,0.04823664609351641,0.10004865094248125,0.4821318992221898,-0.16381450947865583,"momentum, rsi (OR)"
"['momentum', 'rsi']",252,5,50,5,10,long,or,0.2984262568976459,0.051279520796414735,0.10639098190088483,0.481991235349133,-0.2068909021548767,"momentum, rsi (OR)"
"['momentum', 'rsi', 'ma_crossover']",63,10,100,5,10,long_short,and,0.09360108983186355,0.015478206385747262,0.032126441332784424,0.4817902557402785,-0.07031138368179213,"momentum, rsi, ma_crossover (AND)"
